Model,Accuracy,Precision,Recall,F1
K-Means,0.7613762400640828,0.022266692078012833,0.7780244173140954,0.043294321094401386
DBSCAN (sample),0.9418333333333333,0.008296107211231652,0.06372549019607843,0.014680971202710334
Isolation Forest,0.9841025325035431,0.05234795996920708,0.07547169811320754,0.06181818181818182
